# Zrodlo danych: PharmaTrack Sell-Out Panel PL (panel aptek)
# Eksport wygenerowany: 2026-04-01 03:14:22
# Okres deklarowany: 2026-03
# Separator pol: | ; kodowanie: UTF-8 ; separator dziesietny: przecinek
# UWAGA: eksport wykonany w dwoch przebiegach - load_id L20260401A oraz L20260401B
# typ_transakcji: SPRZEDAZ | ZWROT | PROMO
load_id|data_sprzedazy|apteka_id|nazwa_apteki|wojewodztwo|kanal|ean|nazwa_produktu|opakowania|wartosc_pln|typ_transakcji
L20260401A|04.03.2026|APT-000053|Melisa 1048|dolnoslaskie|siec|5909991234592|GINKOMAX 120|1|28,35|SPRZEDAZ
L20260401A|2026-03-03|APT-000330|Apteka Hygieia 1420|mazowieckie|INDYW|5909991234578|VITARIS D3 4000|3|94,31 PLN|SPRZEDAZ
L20260401A|2026-03-19|APT-000055|Apteka Zdrowie 1294|dolnoslaskie|SIEĆ |5909991234578|VITARIS D3 4000|1|30,63|SPRZEDAZ
L20260401A|21/03/2026|APT-000165|Apteka Centrum 1043|slaskie|INDYW|5909991234561|Vitaris D3 2000 j.m. 60 kaps.|1|23,43|SPRZEDAZ
L20260401A|2026-03-23|394|Apteka pod Orlem 1182|mazowieckie|INDYWIDUALNA|5909991234608|ALLERTIS 10|3|45,19|SPRZEDAZ
L20260401A|2026-03-10|APT-000367|Apteka Sloneczna 1223|wielkopolskie|indyw|5909991234585|MAGNOVIT B6|1|19,54|SPRZEDAZ
L20260401A|20.03.2026|APT-000049|Apteka Ratuszowa 1403|slaskie|INDYW|5909991234578|VITARIS D3 4000|4|126,21|SPRZEDAZ
L20260401A|2026-03-26|225|Apteka Hygieia 1209|pomorskie|INDYW|5909991234561|Vitaris D3 2000 j.m. 60 kaps.|1|24,54|SPRZEDAZ
L20260401A|2026-03-02|APT-000365|Apteka Rodzinna 1346|mazowieckie|indyw|5909991234592|Ginkomax 120 mg 60 tabl.|20|591,21|SPRZEDAZ
L20260401A|2026-03-31|APT-000104|Apteka Familijna 1051|wielkopolskie|Sieć|5909991234585|MAGNOVIT B6|1|18,61|SPRZEDAZ
L20260401A|26/03/2026|APT-000386|Apteka Centrum 1025|wielkopolskie|niezalezna|5909991234578|VITARIS D3 4000|1|33,01|SPRZEDAZ
L20260401A|2026-03-19|APT-000258|Apteka Rodzinna 1240|mazowieckie|Indywidualna|5909991234585|Magnovit B6 50 tabl.|1|18,56|SPRZEDAZ
L20260401A|2026-03-16|196|Apteka Sloneczna 1009|slaskie|Indywidualna|5909991234608|ALLERTIS 10|brak|14,41|SPRZEDAZ
L20260401A|2026-03-07|APT-000352|Apteka Zdrowie 1122|slaskie|SIEĆ |5909991234608|Allertis 10 mg 30 tabl.|1|13,73|SPRZEDAZ
L20260401B|03.03.2026|APT-000343|Apteka Zdrowie 1220|slaskie|SIEĆ |5909991234561|VITARIS D3 2000 J.M.|1|25,33|SPRZEDAZ
L20260401A|06.03.2026|0000002|PharmaPlus 1410|pomorskie|sieciowa|5909991234578|VITARIS D3 4000|1|33,35 PLN|SPRZEDAZ
L20260401A|2026-03-25|APT-000159|Apteka pod Lipa 1131|mazowieckie|Indywidualna|5909991234561|Vitaris D3 2000 j.m. 60 kaps.|2|49,20|SPRZEDAZ
L20260401A|24.03.2026|APT-000061|Dbam o Zdrowie Plus 1382|pomorskie|Sieć|5909991234585|Magnovit B6 50 tabl.|1|17,85|SPRZEDAZ
L20260401A|21.03.2026|64|PharmaPlus 1003|mazowieckie|sieciowa|5909991234608|ALLERTIS 10|-1|-13,76|ZWROT
L20260401A|2026-03-22|60|PharmaPlus 1413|mazowieckie|siec|5909991234578|VITARIS D3 4000|1|32,17|SPRZEDAZ
L20260401A|2026-03-05|163|Apteka Nowa 1260|pomorskie|Indywidualna|5909991234592|GINKOMAX 120|3|87,50|SPRZEDAZ
L20260401A|2026-03-17|APT-000399|PharmaPlus 1313|malopolskie|sieciowa|5909991234608|ALLERTIS 10|1|13,86|SPRZEDAZ
L20260401A|04.03.2026|385|Apteka Zdrowie 1325|malopolskie|Sieć|5909991234608|ALLERTIS 10|3|46,11 PLN|SPRZEDAZ
L20260401A|02.03.2026|APT-000009|Dbam o Zdrowie Plus 1190|pomorskie|sieciowa|5909991234608|ALLERTIS 10|2|28,66|SPRZEDAZ
L20260401B|07/03/2026|APT-000254|Dbam o Zdrowie Plus 1153|dolnoslaskie|SIEC|5909991234592|GINKOMAX 120MG|3|92,87|SPRZEDAZ
L20260401A|18/03/2026|388|Apteka Ratuszowa 1018|pomorskie|INDYW|5909991234578|VITARIS D3 4000|2|62,93|SPRZEDAZ
L20260401A|2026-03-16|305|PharmaPlus 1022|dolnoslaskie|sieciowa|5909991234561|VITARIS D3 2000|1|24,16|SPRZEDAZ
L20260401A|2026-03-25|APT-000052|Dbam o Zdrowie Plus 1075|slaskie|sieciowa|5909991234585|Magnovit B6 50 tabl.|1|18,72|SPRZEDAZ
L20260401A|17.03.2026|200|Apteka Panaceum 1136|malopolskie|INDYWIDUALNA|5909991234585|Magnovit B6 50 tabl.|2|39,41|SPRZEDAZ
L20260401A|2026-03-04|APT-000172|Apteka Salus 1061|mazowieckie|INDYWIDUALNA|5909991234592|GINKOMAX 120MG|2|62,04|SPRZEDAZ
L20260401A|21.03.2026|356|Apteka Hygieia 1383|malopolskie|INDYW|5909991234608|ALLERTIS 10|1|15,24|SPRZEDAZ
L20260401A|2026-03-26|APT-000092|Melisa 1085|mazowieckie|siec|5909991234561|Vitaris D3 2000 j.m. 60 kaps.|1|24,31|SPRZEDAZ
L20260401A|2026-03-24|APT-000039|Dbam o Zdrowie Plus 1392|malopolskie|Sieć|5909991234578|Vitaris D3 4000 j.m. 30 kaps.|2|61,82|SPRZEDAZ
L20260401A|19.03.2026|APT-000153|Apteka Ratuszowa 1127|slaskie|INDYW|5909991234608|Allertis 10 mg 30 tabl.|2|29,77|SPRZEDAZ
L20260401A|2026-03-16|376|Apteka Rodzinna 1211|pomorskie|INDYW|5909991234561|VITARIS D3 2000|2|0,00|PROMO
L20260401B|03.03.2026|15|Apteka Zdrowie 1328|wielkopolskie|Sieć|5909991234578|Vitaris D3 4000 j.m. 30 kaps.|1|32,48|SPRZEDAZ
L20260401A|19.03.2026|APT-000017|Apteka pod Orlem 1095|mazowieckie|niezalezna|5909991234608|ALLERTIS 10MG|1|14,39|SPRZEDAZ
L20260401A|2026-03-23|APT-000325|Apteka Zielona 1395|dolnoslaskie|niezalezna|5909991234608|ALLERTIS 10|2|30,41|SPRZEDAZ
L20260401A|2026-03-24|0000286|Apteka Familijna 1128|dolnoslaskie|sieciowa|5909991234592|Ginkomax 120 mg 60 tabl.|1|30,30 PLN|SPRZEDAZ
L20260401A|2026-03-13|APT-000402|Apteka Rodzinna 1101|mazowieckie|Indywidualna|5909991234608|ALLERTIS 10|1|14,07|SPRZEDAZ
L20260401A|03.03.2026|0000268|Apteka Panaceum 1067|dolnoslaskie|INDYWIDUALNA|5909991234585|MAGNOVIT B6|1|17,81 PLN|SPRZEDAZ
L20260401A|2026-03-27|APT-000154|Dbam o Zdrowie Plus 1144|dolnoslaskie|SIEĆ |5909991234561|Vitaris D3 2000 j.m. 60 kaps.|2|48,44|SPRZEDAZ
L20260401A|23.03.2026|APT-000256|Apteka Hygieia 1369|dolnoslaskie|niezalezna|5909991234608|ALLERTIS 10|2|0,00|PROMO
L20260401A|02.03.2026|APT-000031|Apteka Familijna 1213|mazowieckie|SIEC|5909991234578|VITARIS D3 4000|1|31,50|SPRZEDAZ
L20260401A|2026-03-18|151|Apteka Hygieia 1035|mazowieckie|INDYW|5909991234585|MAGNOVIT B6|1|17,95|SPRZEDAZ
L20260401A|2026-03-15|APT-000107|Apteka Sloneczna 1164|mazowieckie|INDYW|5909991234578|Vitaris D3 4000 j.m. 30 kaps.|3|92,96|SPRZEDAZ
L20260401A|05.03.2026|APT-000040|PharmaPlus 1367|wielkopolskie|siec|5909991234592|Ginkomax 120 mg 60 tabl.|1|29,01|SPRZEDAZ
L20260401A|2026-03-06|APT-000181|Apteka Familijna 1208|mazowieckie|SIEĆ |5909991234585|MAGNOVIT B6|1|18,50|SPRZEDAZ
L20260401A|27/03/2026|APT-000303|Apteka Familijna 1134|malopolskie|SIEC|5909991234608|Allertis 10 mg 30 tabl.|1|15,01|SPRZEDAZ
L20260401B|28.03.2026|APT-000296|Apteka Zdrowie 1184|slaskie|sieciowa|5909991234578|VITARIS D3 4000|1|0,00|PROMO
L20260401A|2026-03-17|APT-000276|Apteka Zielona 1247|mazowieckie|INDYWIDUALNA|5909991234561|VITARIS D3 2000|1|26,17|SPRZEDAZ
L20260401A|2026-03-02|135|Apteka pod Lipa 1172|slaskie|INDYWIDUALNA|5909991234592|GINKOMAX 120|1|29,59 PLN|SPRZEDAZ
L20260401A|2026-03-28|APT-000136|Apteka Familijna 1297|wielkopolskie|Sieć|5909991234561|Vitaris D3 2000 j.m. 60 kaps.|1|23,67|SPRZEDAZ
L20260401A|23/03/2026|382|Melisa 1322|mazowieckie|siec|5909991234608|ALLERTIS 10|2|27,79|SPRZEDAZ
L20260401A|22.03.2026|66|Apteka Familijna 1099|malopolskie|SIEC|5909991234592|GINKOMAX 120|5|156,75|SPRZEDAZ
L20260401A|2026-03-06|220|PharmaPlus 1377|mazowieckie|Sieć|5909991234561|VITARIS D3 2000|1|23,58|SPRZEDAZ
L20260401A|27/03/2026|0000313|Apteka Sloneczna 1145|dolnoslaskie|INDYW|5909991234585|MAGNOVIT B6|2|36,02|SPRZEDAZ
L20260401A|2026-03-23|298|Apteka Panaceum 1173|wielkopolskie|INDYWIDUALNA|5909991234578|VITARIS D3 4000|1|30,75|SPRZEDAZ
L20260401A|2026-03-18|APT-000051|PharmaPlus 1129|pomorskie|Sieć|5909991234561|VITARIS D3 2000 J.M.|1|25,46 PLN|SPRZEDAZ
L20260401A|30.03.2026|APT-000061|Dbam o Zdrowie Plus 1382|pomorskie|siec|5909991234561|VITARIS D3 2000|1|26,34|SPRZEDAZ
L20260401A|02.03.2026|APT-000273|Apteka Zdrowie 1126|dolnoslaskie|Sieć|5909991234592|GINKOMAX 120MG|2|62,49 PLN|SPRZEDAZ
L20260401A|18.03.2026|0000033|Apteka Rodzinna 1157|mazowieckie|INDYWIDUALNA|5909991234592|GINKOMAX 120|5|157,78|SPRZEDAZ
L20260401A|06.03.2026|APT-000039|Dbam o Zdrowie Plus 1392|malopolskie|siec|5909991234578|Vitaris D3 4000 j.m. 30 kaps.|3|100,71|SPRZEDAZ
L20260401A|2026-03-26|214|Melisa 1415|wielkopolskie|SIEĆ |5909991234592|GINKOMAX 120|1|28,95|SPRZEDAZ
L20260401A|2026-03-28|APT-000357|Apteka Familijna 1017|mazowieckie|SIEC|5909991234608|ALLERTIS 10|3|0,00|PROMO
L20260401A|2026-03-28|APT-000341|Dbam o Zdrowie Plus 1069|mazowieckie|SIEĆ |5909991234592|GINKOMAX 120|1|31,18|SPRZEDAZ
L20260401A|2026-03-20|APT-000291|Apteka Zdrowie 1102|dolnoslaskie|SIEĆ |5909991234608|ALLERTIS 10MG|1|13,93|SPRZEDAZ
L20260401A|16/03/2026|341|Dbam o Zdrowie Plus 1069|mazowieckie|SIEĆ |5909991234592|GINKOMAX 120|1|30,08|SPRZEDAZ
L20260401A|02/04/2026|401|Apteka Zdrowie 1418|dolnoslaskie|SIEĆ |5909991234578|VITARIS D3 4000 J.M.|1|32,46|SPRZEDAZ
L20260401A|04.03.2026|386|Apteka Centrum 1025|wielkopolskie|INDYWIDUALNA|5909991234585|MAGNOVIT B6|1|19,60|SPRZEDAZ
L20260401A|2026-03-20|APT-000366|Dbam o Zdrowie Plus 1299|dolnoslaskie|Sieć|5909991234578|Vitaris D3 4000 j.m. 30 kaps.|1|33,90 PLN|SPRZEDAZ
L20260401A|2026-03-25|251|Apteka Hygieia 1060|mazowieckie|niezalezna|5909991234585|MAGNOVIT B6|3|55,50 PLN|SPRZEDAZ
L20260401A|2026-03-12|APT-000383|Dbam o Zdrowie Plus 1217|pomorskie|SIEĆ |5909991234585|MAGNOVIT B-6|3|0,00|PROMO
L20260401A|2026-03-27|53|Melisa 1048|dolnoslaskie|SIEC|5909991234592|Ginkomax 120 mg 60 tabl.|1|28,91|SPRZEDAZ
L20260401A|20.03.2026|APT-000024|Apteka pod Orlem 1361|malopolskie|Indywidualna|5909991234592|Ginkomax 120 mg 60 tabl.|1|28,80 PLN|SPRZEDAZ
L20260401A|2026-03-17|159|Apteka pod Lipa 1131|mazowieckie|indyw|5909991234585|MAGNOVIT B6|1|18,91|SPRZEDAZ
L20260401B|13/03/2026|APT-000378|Dbam o Zdrowie Plus 1408|mazowieckie|siec|5909991234585|MAGNOVIT B-6|1|19,40|SPRZEDAZ
L20260401A|2026-03-16|APT-000128|Apteka Zielona 1228|pomorskie|niezalezna|5909991234578|VITARIS D3 4000 J.M.|1|34,45 PLN|SPRZEDAZ
L20260401A|2026-03-20|APT-000109|Apteka Zielona 1293|pomorskie|niezalezna|5909991234578|VITARIS D3 4000 J.M.|1|33,11|SPRZEDAZ
L20260401A|2026-03-12|APT-000348|Apteka Hygieia 1353|wielkopolskie|Indywidualna|5909991234578|VITARIS D3 4000 J.M.|1|31,52|SPRZEDAZ
L20260401A|13.03.2026|181|Apteka Familijna 1208|mazowieckie|Sieć|5909991234561|Vitaris D3 2000 j.m. 60 kaps.|4|97,65|SPRZEDAZ
L20260401A|2026-03-14|0000016|Apteka pod Orlem 1015|malopolskie|niezalezna|5909991234585|MAGNOVIT B6|1|18,49 PLN|SPRZEDAZ
L20260401A|07.03.2026|316|Apteka Ratuszowa 1178|wielkopolskie|Indywidualna|5909991234561|VITARIS D3 2000|3|75,18|SPRZEDAZ
L20260401A|2026-03-20|APT-000089|Apteka Familijna 1063|malopolskie|sieciowa|5909991234561|VITARIS D3 2000|2|48,74|SPRZEDAZ
L20260401B|03.03.2026|0000254|Dbam o Zdrowie Plus 1153|dolnoslaskie|Sieć|5909991234578|VITARIS D3 4000|1|31,32|SPRZEDAZ
L20260401A|2026-03-04|124|Dbam o Zdrowie Plus 1175|malopolskie|siec|5909991234592|Ginkomax 120 mg 60 tabl.|2|59,63|SPRZEDAZ
